datetime,open,high,low,close,volume
2025-03-12 22:00:00,125.76,126.7,125.53,126.47,491872.0
2025-03-12 23:00:00,126.48,126.76,125.41,126.55,645171.0
2025-03-13 00:00:00,126.54,126.89,125.2,125.29,658312.0
2025-03-13 01:00:00,125.3,126.46,124.86,126.04,607299.0
2025-03-13 02:00:00,126.04,127.38,125.08,125.24,605818.0
2025-03-13 03:00:00,125.25,126.25,124.63,124.9,615315.0
2025-03-13 04:00:00,124.9,125.29,123.51,123.79,631410.0
2025-03-13 05:00:00,123.79,124.46,122.91,123.44,821466.0
2025-03-13 06:00:00,123.44,124.12,123.11,123.62,730420.0
2025-03-13 07:00:00,123.62,124.52,123.39,124.18,615610.0
2025-03-13 08:00:00,124.19,125.39,123.55,125.27,890867.0
2025-03-13 09:00:00,125.26,127.99,125.22,127.61,1351094.0
2025-03-13 10:00:00,127.61,127.96,126.35,126.99,841823.0
2025-03-13 11:00:00,126.99,127.18,125.72,126.83,738434.0
2025-03-13 12:00:00,126.82,128.79,125.62,126.21,1573005.0
2025-03-13 13:00:00,126.21,127.32,123.9,124.15,1895457.0
2025-03-13 14:00:00,124.15,125.8,123.54,125.1,1406836.0
2025-03-13 15:00:00,125.1,125.48,123.77,124.26,1124075.0
2025-03-13 16:00:00,124.26,124.35,122.37,123.2,1074281.0
2025-03-13 17:00:00,123.2,123.3,121.04,121.69,1298453.0
2025-03-13 18:00:00,121.69,123.03,121.59,122.92,1024582.0
2025-03-13 19:00:00,122.91,123.13,121.04,121.41,697866.0
2025-03-13 20:00:00,121.4,122.16,120.66,121.43,820836.0
2025-03-13 21:00:00,121.43,122.11,120.92,122.1,327898.0
2025-03-13 22:00:00,122.09,123.85,121.89,123.76,650322.0
2025-03-13 23:00:00,123.76,124.31,122.95,123.32,640806.0
2025-03-14 00:00:00,123.32,124.85,122.89,124.22,770380.0
2025-03-14 01:00:00,124.23,125.29,123.35,124.52,692874.0
2025-03-14 02:00:00,124.51,125.43,124.39,125.19,452694.0
2025-03-14 03:00:00,125.19,125.25,124.08,124.44,429783.0
2025-03-14 04:00:00,124.44,125.16,124.37,124.83,307371.0
2025-03-14 05:00:00,124.83,125.25,124.36,125.04,399939.0
2025-03-14 06:00:00,125.04,125.36,124.44,125.08,375084.0
2025-03-14 07:00:00,125.07,125.56,124.46,124.61,373760.0
2025-03-14 08:00:00,124.61,125.89,124.56,125.43,509504.0
2025-03-14 09:00:00,125.43,126.08,125.26,125.51,421855.0
2025-03-14 10:00:00,125.51,126.55,125.15,125.94,482476.0
2025-03-14 11:00:00,125.93,126.31,125.57,126.07,377813.0
2025-03-14 12:00:00,126.07,126.59,125.37,126.32,427122.0
2025-03-14 13:00:00,126.31,129.5,125.9,128.91,1986935.0
2025-03-14 14:00:00,128.92,132.14,127.5,130.64,3708695.0
2025-03-14 15:00:00,130.63,133.68,130.54,132.09,2734379.0
2025-03-14 16:00:00,132.09,133.3,130.77,133.05,1539246.0
2025-03-14 17:00:00,133.05,133.77,132.18,132.39,1015657.0
2025-03-14 18:00:00,132.4,134.34,132.4,133.89,668284.0
2025-03-14 19:00:00,133.9,134.65,133.38,134.22,698975.0
2025-03-14 20:00:00,134.23,134.3,132.29,134.2,977959.0
2025-03-14 21:00:00,134.21,134.84,133.16,134.65,516771.0
2025-03-14 22:00:00,134.66,136.07,134.33,135.35,682656.0
2025-03-14 23:00:00,135.36,135.39,133.12,133.49,917308.0
2025-03-15 00:00:00,133.48,134.02,133.02,133.72,603742.0
2025-03-15 01:00:00,133.73,133.9,132.81,133.61,615582.0
2025-03-15 02:00:00,133.62,134.74,133.34,134.45,426245.0
2025-03-15 03:00:00,134.44,135.25,134.05,134.97,429740.0
2025-03-15 04:00:00,134.96,135.6,134.45,134.72,480450.0
2025-03-15 05:00:00,134.72,134.82,133.41,133.43,711649.0
2025-03-15 06:00:00,133.43,133.99,133.05,133.94,338870.0
2025-03-15 07:00:00,133.93,134.04,132.67,132.85,675295.0
2025-03-15 08:00:00,132.84,133.22,132.36,132.91,428035.0
2025-03-15 09:00:00,132.91,133.43,132.67,133.32,267457.0
2025-03-15 10:00:00,133.31,133.42,132.74,132.84,319683.0
2025-03-15 11:00:00,132.84,133.64,132.62,133.29,364224.0
2025-03-15 12:00:00,133.29,134.57,133.01,133.94,565297.0
2025-03-15 13:00:00,133.94,135.73,133.83,135.34,798970.0
2025-03-15 14:00:00,135.33,135.33,133.91,134.38,684419.0
2025-03-15 15:00:00,134.38,135.4,134.37,135.04,455233.0
2025-03-15 16:00:00,135.05,136.0,134.43,135.45,551241.0
2025-03-15 17:00:00,135.45,136.47,134.54,134.69,965246.0
2025-03-15 18:00:00,134.7,135.13,133.9,134.19,421424.0
2025-03-15 19:00:00,134.18,134.47,133.51,134.4,385682.0
2025-03-15 20:00:00,134.4,135.46,134.28,135.4,284536.0
2025-03-15 21:00:00,135.4,136.47,135.33,135.63,419531.0
2025-03-15 22:00:00,135.63,135.82,135.1,135.57,314638.0
2025-03-15 23:00:00,135.57,135.98,135.16,135.79,231795.0
2025-03-16 00:00:00,135.8,136.68,135.64,135.89,449343.0
2025-03-16 01:00:00,135.88,136.59,134.91,135.15,766430.0
2025-03-16 02:00:00,135.15,135.39,134.03,134.22,632850.0
2025-03-16 03:00:00,134.23,135.65,134.13,135.43,381171.0
2025-03-16 04:00:00,135.43,135.73,134.92,135.11,292844.0
2025-03-16 05:00:00,135.11,135.29,134.5,135.03,295634.0
2025-03-16 06:00:00,135.04,136.2,134.83,135.01,430336.0
2025-03-16 07:00:00,135.0,135.09,133.75,134.58,725268.0
2025-03-16 08:00:00,134.57,134.74,133.94,134.62,285734.0
2025-03-16 09:00:00,134.62,134.9,133.14,133.44,615111.0
2025-03-16 10:00:00,133.44,133.73,132.88,133.24,532700.0
2025-03-16 11:00:00,133.24,133.24,129.59,129.89,2894586.0
2025-03-16 12:00:00,129.88,130.8,129.32,129.48,1172946.0
2025-03-16 13:00:00,129.48,130.0,127.39,127.77,1501580.0
2025-03-16 14:00:00,127.77,129.4,127.65,129.35,1137200.0
2025-03-16 15:00:00,129.36,129.51,128.34,128.68,600629.0
2025-03-16 16:00:00,128.68,131.17,128.47,129.23,1919707.0
2025-03-16 17:00:00,129.23,130.35,128.68,129.84,847730.0
2025-03-16 18:00:00,129.83,129.91,128.01,128.72,599385.0
2025-03-16 19:00:00,128.72,128.82,125.98,126.85,1615035.0
2025-03-16 20:00:00,126.86,127.54,126.53,127.05,422713.0
2025-03-16 21:00:00,127.04,127.69,126.13,126.43,433876.0
2025-03-16 22:00:00,126.43,126.64,125.54,125.69,849246.0
2025-03-16 23:00:00,125.68,126.2,125.11,126.05,702988.0
2025-03-17 00:00:00,126.05,127.9,125.79,127.65,992555.0
2025-03-17 01:00:00,127.65,128.67,127.1,128.2,1282742.0
2025-03-17 02:00:00,128.2,128.55,127.36,127.71,959420.0
2025-03-17 03:00:00,127.71,129.17,127.71,128.87,530652.0
2025-03-17 04:00:00,128.88,129.31,128.56,128.82,464908.0
2025-03-17 05:00:00,128.81,128.89,127.92,127.99,391571.0
2025-03-17 06:00:00,127.99,128.4,126.39,128.03,826102.0
